ID_NOTICIERO,FECHA_TESTIGO,TIPO_VALORACION,CANDIDATO,FRASE_ESTEREOTIPO_GENERAL,FRASE_POSITIVA,FRASE_NEGATIVA,FRASE_ENFOQUE,DURACION_MINUTOS
1,01/03/2024,N,BXGR,,,"Diecisiete puntos de ventaja es mucho, sería una ventaja muy difícil de remontar. Me llama mucho la impresión que sea el 50 por ciento de Claudia Sheinbaum, pero el 33 por ciento de Xóchitl Gálvez, sólo el 33 por ciento.",,2.033333333333333
1,01/03/2024,N,BXGR,,,"Imagen que Xóchitl Gálvez, PRI, PAN, no pueden tener.",,0.06666666666666667
1,01/03/2024,N,BXGR,,,"La verdad es que aun siendo plaza pequeña y teniendo un atrio al lado, pues todo este grupo de gente que se veía compacto caminando por la calle, se dispersó, se abrió, y apenas era un lunar de seguidores.",,2.5
1,01/03/2024,N,BXGR,,,"Me cuesta entender que, cómo están las condiciones hoy con la candidatura de Xóchitl Gálvez, ella no alcanzaría ni si quiera los votos que sumaron Ricardo Anaya y José Antonio Meade hace seis años.",,2.033333333333333
1,01/03/2024,N,BXGR,,,"Ni uno solo de los presidentes de los tres partidos que la abanderan, de ellos nada, ellos no vinieron.","Ni uno solo de los presidentes de los tres partidos que la abanderan. De ellos nada, ellos no vinieron.",2.5
1,01/03/2024,N,BXGR,,,"Pero en realidad sigue siendo muy poca gente, yo insisto, me sostengo, para un arranque de una campaña presidencial.",,2.5
1,01/03/2024,N,BXGR,,,"Pero, notoriamente, con falta de gente.",,2.5
1,01/03/2024,N,JAM,,,Un lejano ocho por ciento para el candidato de MOVIMIENTO CIUDADANO Jorge Álvarez Máynez.,,0.7166666666666666
1,01/03/2024,P,BXGR,,Es muy simbólico lo que hace Xóchitl Gálvez.,,,0.5666666666666667
1,01/03/2024,P,BXGR,,"Esta calle por la que caminaron, la Benito Juárez, pues es una calle estrecha, entonces en realidad, digamos que se convirtió en un pasillo en el que sí hubo mucha gente y se vio pues importante.",,,2.5
1,01/03/2024,P,BXGR,,Estuvo bien respaldada a la medianoche.,,,1.0666666666666667
1,01/03/2024,P,BXGR,,"La verdad es que se veía poca gente, después se juntó mucho más.",,,2.5
1,01/03/2024,P,BXGR,,"Y pues así, digamos como quien intenta y creo lo logra de alguna forma, Xóchitl Gálvez, pues, es ganar de entrada planas o presencia en las primeras planas de los diarios.",,,2.5
1,01/03/2024,P,CSP,,Claudia Sheinbaum mantiene una sólida ventaja sobre Xóchitl Gálvez.,,,0.45
1,01/03/2024,P,CSP,,"Diecisiete puntos de ventaja es mucho, sería una ventaja muy difícil de remontar. Me llama mucho la impresión que sea el 50 por ciento de Claudia Sheinbaum, pero el 33 por ciento de Xóchitl Gálvez, sólo el 33 por ciento.",,,2.033333333333333
1,01/03/2024,P,CSP,,Lo que pues seguramente será un mitin muy concurrido de Claudia Sheinbaum.,,,1.4666666666666666
1,01/03/2024,P,CSP,,Se prevé una concentración masiva a la que acudirán seguidores y simpatizantes del partido de toda la República Mexicana.,,,0.25
1,01/03/2024,S,BXGR,,,,,12.533333333333331
1,01/03/2024,S,CSP,,,,,8.933333333333332
1,01/03/2024,S,JAM,,,,,5.3999999999999995
1,01/03/2024,S,SE,,,,,2.166666666666667
1,01/04/2024,N,BXGR,,,"Xóchitl Gálvez tendría apenas el 34 por ciento, es decir, no sería siquiera capaz de obtener la suma de votos que tuvieron Ricardo Anaya y José Antonio Meade hace 6 años.",,0.2
1,01/04/2024,N,JAM,,,No importa que esa candidatura no pinte porque ya pasó un mes y Jorge Álvarez Máynez creo que no se ha significado pues por nada relevante.,,1.3833333333333333
1,01/04/2024,N,SE,,,"Ahí recargado MC en ese porcentaje que le garantiza, pues lo que le garantiza luego el Verde, lo que le garantiza estos partidos pequeños, que son pequeños pero que son grandes pues generadores de dinero, Ciro ¿para quién? para las pocas personas que forman sus directivas. ¿no? Nomás.",,0.9
1,01/04/2024,P,CSP,,"Y que mantiene una ventaja muy sólida de Claudia Sheinbaum sobre Xóchitl Gálvez, eran 18 puntos hace un mes. Claudia Sheinbaum perdió un punto en esta encuesta en un mes, pues bueno, se puede seguir perdiendo un mes en abril, uno en mayo y mantendría una ventaja muy amplia sobre Xóchitl Gálvez.",,,0.8666666666666667
1,01/04/2024,P,JAM,,"En MOVIMIENTO CIUDADANO a nivel nacional deben estar felices, pero felices y con el negocio y con la apuesta de Dante Delgado que ha jugado cuando va solo sin aliarse con nadie, fundamentalmente a mantener el registro, es decir a tener más de 3 por ciento (...) Si Jorge Álvarez Máynez le trae a MOVIMIENTO CIUDADANO lo que marca la encuesta de El Financiero, le trae 7%, negociazo, negociazo (...) Habrá sido un gran negocio la candidatura de Jorge Álvarez Máynez.",,,1.3833333333333333
1,01/04/2024,P,SE,,"Y MOVIMIENTO CIUDADANO tendría un cómodo, muy productivo, muy rentable, 7 por ciento.",,,0.45
1,01/04/2024,S,BXGR,,,,,8.466666666666667
1,01/04/2024,S,CSP,,,,,7.833333333333334
1,01/04/2024,S,JAM,,,,,2.7333333333333334
1,01/04/2024,S,SE,,,,,0.7
1,01/05/2024,N,JAM,,,"Si como marcan algunas encuestas, Jorge Álvarez Máynez puede sacar ese porcentaje, 6%, no se diga si lo sube a 7 u 8, habrá sido un exitazo para los dueños de la franquicia de MOVIMIENTO CIUDADANO. No para el país, el país qué más da. Ni siquiera para el propio Jorge Álvarez Máynez (...) Gracias a un personaje que le resulte simpático y atractivo a una parte muy pequeña del electorado pero, pequeña pero suficiente para darle una muy buena cantidad, millones y millones y millones a la dirigencia.",,3.566666666666667
1,01/05/2024,S,BXGR,,,,,3.283333333333333
1,01/05/2024,S,CSP,,,,,4.25
1,01/05/2024,S,JAM,,,,,0.06666666666666667
